zip,county,area_codes,latitude,longitude,estimated_population
98937,Yakima County,"360, 509, 564",46.78,-120.88,4050
98938,Yakima County,509,46.37,-120.09,1920
98939,Yakima County,509,46.5,-120.47,513
98940,Kittitas County,"360, 509, 564",47.25,-121.05,415
98941,Kittitas County,509,47.23,-121,1048
98942,Yakima County,509,46.76,-120.68,17420
98943,Kittitas County,509,47.18,-120.97,951
98944,Yakima County,509,46.44,-119.91,21140
98946,Kittitas County,509,47.08,-120.71,480
98947,Yakima County,509,46.71,-120.76,3150
98948,Yakima County,509,46.28,-120.25,11880
98950,Kittitas County,509,46.86,-119.99,188
98951,Yakima County,509,46.45,-120.51,12040
98952,Yakima County,509,46.36,-120.78,1400
98953,Yakima County,509,46.41,-120.23,6300
99001,Spokane County,509,47.64,-117.59,6530
99003,Spokane County,509,47.92,-117.28,5430
99004,Spokane County,509,47.43,-117.62,17820
99005,Spokane County,509,47.84,-117.35,10400
99006,Spokane County,509,47.99,-117.5,13610
99008,Lincoln County,509,47.51,-117.92,540
99009,Spokane County,509,48.01,-117.22,3670
99011,Spokane County,509,47.61,-117.65,2370
99012,Spokane County,"208, 509, 986",47.39,-117.18,900
99013,Stevens County,509,47.88,-117.84,1020
99014,Spokane County,509,47.56,-117.6,268
99016,Spokane County,509,47.63,-117.14,18830
99017,Whitman County,509,47.16,-117.84,192
99018,Spokane County,509,47.3,-117.14,240
99019,Spokane County,"208, 509, 986",47.63,-117.09,13130
99020,Spokane County,509,47.56,-117.5,172
99021,Spokane County,"208, 509, 986",47.83,-117.21,9540
99022,Spokane County,509,47.61,-117.7,7940
99023,Spokane County,"208, 509, 986",47.56,-117.17,630
99025,Spokane County,"208, 509, 986",47.77,-117.09,4950
99026,Stevens County,509,47.8,-117.62,9590
99027,Spokane County,509,47.71,-117.13,6170
99029,Lincoln County,509,47.69,-117.86,1660
99030,Spokane County,"208, 509, 986",47.48,-117.14,1070
99031,Spokane County,509,47.44,-117.35,1350
99032,Lincoln County,509,47.33,-118.04,620
99033,Whitman County,"208, 509, 986",47.24,-117.11,780
99034,Stevens County,509,47.89,-117.76,290
99036,Spokane County,509,47.53,-117.26,1810
99037,Spokane County,509,47.64,-117.2,15810
99039,Spokane County,509,47.34,-117.23,132
99040,Stevens County,509,47.89,-117.99,930
99101,Stevens County,509,48.32,-117.91,1320
99102,Whitman County,509,46.79,-117.25,538
99103,Lincoln County,509,47.72,-118.93,490
99104,Whitman County,509,47.08,-117.16,0
99105,Adams County,509,46.88,-118.15,56
99107,Ferry County,509,48.99,-118.21,38
99109,Stevens County,509,48.26,-117.76,4600
99110,Stevens County,509,48.03,-117.57,1660
99111,Whitman County,509,46.85,-117.44,3540
99113,Whitman County,509,46.56,-117.22,730
99114,Stevens County,"236, 250, 509, 672, 778",48.67,-117.75,10720
99115,Grant County,509,47.66,-119.43,1000
99116,Okanogan County,509,48.03,-118.94,1170
99117,Lincoln County,509,47.65,-118.57,420
99118,Ferry County,509,48.87,-118.63,560
99119,Pend Oreille County,"208, 236, 250, 509, 672, 778, 986",48.51,-117.37,960
99121,Ferry County,509,48.94,-118.46,133
99122,Lincoln County,509,47.67,-118.19,3950
99123,Grant County,509,47.87,-119.08,950
99124,Okanogan County,509,48,-118.95,385
99125,Whitman County,509,46.95,-117.73,430
99126,Stevens County,509,48.72,-117.96,750
99128,Whitman County,"208, 509, 986",47.11,-117.07,240
99129,Stevens County,509,48,-118.2,440
99130,Whitman County,"208, 509, 986",46.99,-117.16,780
99131,Stevens County,509,48.29,-118.09,117
99133,Grant County,509,47.99,-119,1300
99134,Lincoln County,509,47.42,-118.4,510
99135,Grant County,509,47.68,-119.12,220
99136,Whitman County,509,46.67,-117.96,21
99137,Stevens County,509,48.17,-118.12,310
99138,Ferry County,509,48.2,-118.24,980
99139,Pend Oreille County,"208, 236, 250, 509, 672, 778, 986",48.69,-117.29,1040
99140,Ferry County,509,48.1,-118.71,320
99141,Stevens County,509,48.74,-118.09,5000
99143,Whitman County,509,46.73,-117.87,540
99144,Lincoln County,509,47.35,-118.48,32
99146,Ferry County,509,48.95,-118.28,48
99147,Lincoln County,509,47.83,-118.46,210
99148,Stevens County,509,48.09,-117.58,2110
99149,Whitman County,509,47.22,-117.46,121
99150,Ferry County,509,48.81,-118.61,360
99151,Stevens County,509,48.66,-118.06,141
99152,Pend Oreille County,509,48.84,-117.4,169
99153,Pend Oreille County,"208, 236, 250, 509, 672, 778, 986",48.89,-117.21,400
99154,Lincoln County,509,47.36,-118.35,0
99155,Okanogan County,509,48.21,-119.04,1020
99156,Pend Oreille County,"208, 236, 250, 509, 672, 778, 986",48.15,-117.24,7580
99157,Stevens County,"236, 250, 509, 672, 778",48.93,-117.77,650
99158,Whitman County,509,47.12,-117.25,580
99159,Lincoln County,509,47.34,-118.66,1090
99160,Ferry County,509,48.87,-118.3,142
99161,Whitman County,"208, 509, 986",46.88,-117.15,1370
99163,Whitman County,"208, 509, 986",46.72,-117.18,18790
99164,Whitman County,509,46.73,-117.15,38
99165,Whitman County,509,46.73,-117.17,20
99166,Ferry County,509,48.59,-118.7,2480
99167,Stevens County,509,48.42,-118.11,620
99169,Adams County,509,47.07,-118.47,2270
99170,Whitman County,509,47.25,-117.38,920
99171,Whitman County,509,47.1,-117.64,900
99173,Stevens County,509,48.02,-117.85,1580
99174,Whitman County,509,47.01,-117.36,71
99176,Whitman County,509,47.09,-117.39,175
99179,Whitman County,"208, 509, 986",46.51,-117.13,460
99180,Pend Oreille County,"208, 236, 250, 509, 672, 778, 986",48.3,-117.36,1020
99181,Stevens County,509,48.14,-117.76,1770
99185,Lincoln County,509,47.72,-118.7,1220
99201,Spokane County,509,47.66,-117.43,9430
99202,Spokane County,509,47.65,-117.37,13410
99203,Spokane County,509,47.62,-117.4,19340
99204,Spokane County,509,47.65,-117.43,4970
99205,Spokane County,509,47.69,-117.45,36260
99206,Spokane County,509,47.63,-117.25,33940
99207,Spokane County,509,47.69,-117.38,24350
99208,Spokane County,509,47.78,-117.45,52480
99209,Spokane County,509,47.69,-117.44,1317
99210,Spokane County,509,47.65,-117.42,861
99211,Spokane County,509,47.66,-117.31,340
99212,Spokane County,509,47.65,-117.31,18420
99213,Spokane County,509,47.65,-117.29,363
99214,Spokane County,509,47.71,-117.2,1251
99215,Spokane County,509,47.69,-117.2,99
99216,Spokane County,509,47.69,-117.19,23720
99217,Spokane County,509,47.74,-117.25,16450
99218,Spokane County,509,47.75,-117.43,12780
99219,Spokane County,509,47.63,-117.54,314
99220,Spokane County,509,47.64,-117.41,565
99223,Spokane County,509,47.59,-117.35,30010
99224,Spokane County,509,47.63,-117.55,21960
99228,Spokane County,509,47.79,-117.38,1319
99251,Spokane County,509,47.75,-117.42,46
99252,Spokane County,509,47.65,-117.37,0
99256,Spokane County,509,47.66,-117.42,0
99258,Spokane County,509,47.67,-117.4,92
99260,Spokane County,509,47.66,-117.42,0
99299,Spokane County,509,47.65,-117.42,0
99301,Franklin County,509,46.41,-118.9,80780
99302,Franklin County,509,46.25,-119.08,2500
99320,Benton County,509,46.24,-119.49,9630
99321,Grant County,509,46.87,-119.81,1330
99322,Klickitat County,509,45.92,-120.19,210
99323,Walla Walla County,509,46.22,-118.82,3450
99324,Walla Walla County,509,46.04,-118.4,8000
99326,Franklin County,509,46.66,-118.9,3530
99328,Columbia County,"458, 509, 541",46.31,-117.9,2970
99329,Walla Walla County,509,46.14,-118.15,280
99330,Franklin County,509,46.5,-119.05,1850
99333,Whitman County,509,46.75,-118.14,53
99335,Franklin County,509,46.66,-118.56,282
99336,Benton County,509,46.21,-119.16,42870
99337,Benton County,"458, 509, 541",46.07,-119.08,31100
99338,Benton County,509,46.16,-119.25,19690
99341,Adams County,509,46.9,-118.68,690
99343,Franklin County,509,46.58,-119.15,2690
99344,Adams County,509,46.8,-119.15,18690
99345,Benton County,"458, 509, 541",45.94,-119.66,357
99346,Benton County,"458, 509, 541",46,-119.3,380
99347,Garfield County,"458, 509, 541",46.44,-117.54,1950
99348,Walla Walla County,509,46.35,-118.47,1540
99349,Grant County,509,46.72,-119.73,8300
99350,Benton County,"458, 509, 541",46.12,-119.68,12450
99352,Benton County,509,46.25,-119.29,35680
99353,Benton County,509,46.31,-119.37,18330
99354,Benton County,509,46.35,-119.32,21610
99356,Klickitat County,"458, 509, 541",45.85,-120.34,250
99357,Grant County,509,46.9,-119.66,6060
99359,Columbia County,509,46.55,-118.19,113
99360,Walla Walla County,509,46.12,-118.64,1350
99361,Walla Walla County,509,46.22,-118.15,1570
99362,Walla Walla County,"458, 509, 541",46.11,-118.3,34520
99363,Walla Walla County,"458, 509, 541",46.06,-118.89,200
99371,Adams County,509,46.82,-118.32,190
99401,Asotin County,"458, 509, 541",46.08,-117.27,230
99402,Asotin County,"208, 458, 509, 541, 986",46.19,-117.13,1540
99403,Asotin County,"208, 509, 986",46.36,-117.22,16580
