zip,county,area_codes,latitude,longitude,estimated_population
98220,Whatcom County,"360, 564",48.7,-122.19,580
98221,Skagit County,"360, 564",48.46,-122.6,21600
98222,San Juan County,"360, 564",48.56,-122.8,20
98223,Snohomish County,"360, 564",48.18,-121.67,41770
98224,King County,"360, 425, 564",47.73,-121.49,163
98225,Whatcom County,"360, 564",48.73,-122.48,32910
98226,Whatcom County,"360, 564",48.79,-122.41,40650
98227,Whatcom County,360,48.8,-122.4,2107
98228,Whatcom County,360,48.74,-122.46,1966
98229,Whatcom County,"360, 564",48.68,-122.41,28550
98230,Whatcom County,"236, 360, 564, 604, 672, 778",48.93,-122.72,17070
98231,Whatcom County,360,48.99,-122.74,1547
98232,Skagit County,"360, 564",48.56,-122.44,3830
98233,Skagit County,"360, 564",48.53,-122.31,14870
98235,Skagit County,"360, 564",48.46,-122.23,616
98236,Island County,"360, 564",47.95,-122.41,5370
98237,Skagit County,"360, 564",48.56,-121.77,3440
98238,Skagit County,"360, 564",48.34,-122.34,358
98239,Island County,"360, 564",48.18,-122.66,6830
98240,Whatcom County,"360, 564",48.94,-122.62,2990
98241,Snohomish County,"360, 509, 564",48.19,-121.21,2030
98243,San Juan County,"360, 564",48.62,-123.01,380
98244,Whatcom County,"360, 564",48.8,-122.06,2360
98245,San Juan County,"360, 564",48.67,-122.91,3730
98247,Whatcom County,"360, 564",48.9,-122.3,8450
98248,Whatcom County,"360, 564",48.86,-122.63,25290
98249,Island County,"360, 564",48.01,-122.54,5090
98250,San Juan County,"360, 564",48.53,-123.06,7830
98251,Snohomish County,"360, 564",47.86,-121.66,4350
98252,Snohomish County,"360, 564",48.05,-121.74,10120
98253,Island County,"360, 564",48.09,-122.57,1690
98255,Skagit County,"360, 564",48.52,-121.99,234
98256,Snohomish County,"360, 564",47.84,-121.43,266
98257,Skagit County,"360, 564",48.41,-122.53,3890
98258,Snohomish County,"360, 425, 564",48.04,-122.05,51370
98259,Snohomish County,"360, 564",48.16,-122.3,269
98260,Island County,"360, 564",48.04,-122.44,5380
98261,San Juan County,"360, 564",48.49,-122.87,2460
98262,Whatcom County,"360, 564",48.69,-122.66,870
98263,Skagit County,"360, 564",48.52,-122.07,415
98264,Whatcom County,"236, 360, 564, 604, 672, 778",48.95,-122.43,22420
98266,Whatcom County,"236, 360, 564, 604, 672, 778",48.96,-122.12,3660
98267,Skagit County,"360, 564",48.44,-121.27,380
98270,Snohomish County,"360, 425, 564",48.05,-122.14,49090
98271,Snohomish County,"360, 425, 564",48.09,-122.24,27910
98272,Snohomish County,"360, 425, 564",47.87,-121.88,27470
98273,Skagit County,"360, 564",48.42,-122.42,28180
98274,Skagit County,"360, 564",48.36,-121.98,16940
98275,Snohomish County,425,47.91,-122.3,20320
98276,Whatcom County,"360, 564",48.93,-122.32,1540
98277,Island County,"360, 564",48.32,-122.63,36750
98278,Island County,"360, 564",48.34,-122.67,996
98279,San Juan County,"360, 564",48.63,-122.8,540
98280,San Juan County,"360, 564",48.61,-122.88,386
98281,Whatcom County,"236, 250, 360, 564, 604, 672, 778",48.98,-123.05,1200
98282,Island County,"360, 564",48.16,-122.49,15780
98283,Skagit County,"236, 360, 509, 564, 604, 672, 778",48.8,-121.26,310
98284,Skagit County,"360, 564",48.59,-122.13,23680
98286,San Juan County,"360, 564",48.57,-122.96,222
98287,Snohomish County,"360, 564",48.19,-122.25,441
98288,King County,"360, 425, 509, 564",47.64,-121.33,307
98290,Snohomish County,"360, 425, 564",47.94,-122,34700
98291,Snohomish County,360,47.92,-122.09,1923
98292,Snohomish County,"360, 564",48.21,-122.28,23630
98293,Snohomish County,"360, 564",47.86,-121.74,394
98294,Snohomish County,"360, 425, 564",47.85,-121.74,8390
98295,Whatcom County,"236, 360, 564, 604, 672, 778",48.94,-122.23,2740
98296,Snohomish County,"360, 425, 564",47.85,-122.09,26670
98297,San Juan County,"360, 564",48.69,-123.03,65
98303,Pierce County,"253, 360, 564",47.15,-122.7,1140
98304,Pierce County,"360, 509, 564",46.88,-121.74,580
98305,Clallam County,"360, 564",48.06,-124.44,360
98310,Kitsap County,"206, 360, 564",47.59,-122.62,17180
98311,Kitsap County,"360, 564",47.63,-122.63,24560
98312,Kitsap County,"360, 564",47.57,-122.75,29340
98314,Kitsap County,"360, 564",47.56,-122.64,34
98315,Kitsap County,"360, 564",47.72,-122.71,3660
98320,Jefferson County,"360, 564",47.69,-122.99,1140
98321,Pierce County,"253, 360, 564",47.13,-122.04,16940
98322,Kitsap County,"360, 564",47.41,-122.63,950
98323,Pierce County,"360, 564",47.01,-121.98,770
98324,Clallam County,360,48.1,-123.17,790
98325,Jefferson County,"360, 564",47.97,-122.78,1950
98326,Clallam County,"360, 564",48.17,-124.53,430
98327,Pierce County,"253, 360, 564",47.09,-122.64,9310
98328,Pierce County,"253, 360, 564",46.86,-122.25,9840
98329,Pierce County,"253, 360, 564",47.37,-122.71,8760
98330,Pierce County,"360, 564",46.76,-122.16,240
98331,Clallam County,"360, 564",47.79,-124.26,4410
98332,Pierce County,"253, 360, 564",47.36,-122.6,18420
98333,Pierce County,253,47.24,-122.63,4000
98335,Pierce County,253,47.29,-122.62,27340
98336,Lewis County,"360, 564",46.53,-122.14,840
98337,Kitsap County,"360, 564",47.57,-122.63,5290
98338,Pierce County,"253, 360, 564",47.01,-122.29,27440
98339,Jefferson County,"360, 564",48,-122.74,3300
98340,Kitsap County,"360, 564",47.91,-122.57,2540
98342,Kitsap County,"360, 564",47.75,-122.53,1450
98343,Clallam County,360,48.13,-123.73,233
98344,Pierce County,"360, 564",46.98,-122.22,544
98345,Kitsap County,"360, 564",47.7,-122.62,1112
98346,Kitsap County,"360, 564",47.81,-122.53,9580
98348,Thurston County,"360, 564",46.82,-122.27,0
98349,Pierce County,"253, 360, 564",47.28,-122.77,4380
98350,Clallam County,"360, 564",47.91,-124.62,296
98351,Pierce County,"253, 360, 564",47.2,-122.76,930
98352,Pierce County,253,47.16,-122.24,0
98353,Kitsap County,"360, 564",47.54,-122.49,1031
98354,Pierce County,253,47.25,-122.31,7700
98355,Lewis County,"360, 564",46.71,-122.11,440
98356,Lewis County,"360, 564",46.57,-122.33,2110
98357,Clallam County,"360, 564",48.33,-124.63,1102
98358,Jefferson County,"360, 564",48.06,-122.71,900
98359,Kitsap County,"253, 360, 564",47.43,-122.57,4940
98360,Pierce County,"253, 360, 564",47.04,-122.14,14350
98361,Lewis County,"360, 509, 564",46.56,-121.55,830
98362,Clallam County,"360, 564",47.99,-123.25,20310
98363,Clallam County,"360, 564",48.02,-123.82,11230
98364,Kitsap County,"360, 564",47.85,-122.59,237
98365,Jefferson County,"360, 564",47.89,-122.7,4860
98366,Kitsap County,"206, 360, 564",47.54,-122.58,31690
98367,Kitsap County,"253, 360, 564",47.46,-122.65,28410
98368,Jefferson County,"360, 564",48.03,-122.84,14450
98370,Kitsap County,"206, 360, 564",47.75,-122.61,29690
98371,Pierce County,253,47.19,-122.33,23470
98372,Pierce County,253,47.22,-122.27,22890
98373,Pierce County,253,47.14,-122.32,25690
98374,Pierce County,"253, 360, 564",47.12,-122.25,44940
98375,Pierce County,253,47.1,-122.32,30520
98376,Jefferson County,"360, 564",47.82,-122.84,1800
98377,Lewis County,"360, 564",46.47,-121.82,1410
98378,Kitsap County,"360, 564",47.54,-122.61,27
98380,Kitsap County,"360, 564",47.58,-122.9,5210
98381,Clallam County,"360, 564",48.29,-124.4,230
98382,Clallam County,"360, 564",48.06,-123.06,27190
98383,Kitsap County,"360, 564",47.67,-122.72,20870
98384,Kitsap County,"360, 564",47.52,-122.53,1032
98385,Pierce County,"360, 564",47.14,-122.09,1156
98386,Kitsap County,"360, 564",47.51,-122.49,467
98387,Pierce County,253,47.05,-122.36,47590
98388,Pierce County,253,47.21,-122.68,6280
98390,Pierce County,253,47.21,-122.23,11230
98391,Pierce County,"253, 360, 564",47.18,-122.16,57490
98392,Kitsap County,"206, 360, 564",47.72,-122.56,2660
98393,Kitsap County,360,47.62,-122.65,1117
98394,Pierce County,"253, 360, 564",47.31,-122.77,1770
98395,Pierce County,253,47.36,-122.69,1422
98396,Pierce County,"360, 564",47.1,-122.03,759
98397,Pierce County,"360, 564",46.75,-121.81,0
98398,Lewis County,"360, 564",46.77,-121.74,0
98401,Pierce County,253,47.25,-122.44,1160
98402,Pierce County,253,47.26,-122.44,4590
98403,Pierce County,253,47.27,-122.46,6450
98404,Pierce County,253,47.2,-122.4,29690
98405,Pierce County,253,47.24,-122.47,18080
98406,Pierce County,253,47.26,-122.51,18770
98407,Pierce County,253,47.29,-122.5,19910
98408,Pierce County,253,47.19,-122.44,17110
98409,Pierce County,253,47.21,-122.47,21290
98411,Pierce County,253,47.22,-122.47,1330
98412,Pierce County,253,47.17,-122.44,198
98413,Pierce County,253,47.2,-122.48,0
98415,Pierce County,253,47.25,-122.45,197
98416,Pierce County,253,47.26,-122.48,68
98417,Pierce County,253,47.24,-122.43,554
98418,Pierce County,253,47.22,-122.44,8040
98419,Pierce County,253,47.19,-122.43,35
98421,Pierce County,253,47.26,-122.39,170
98422,Pierce County,253,47.28,-122.38,19580
98424,Pierce County,253,47.23,-122.36,10420
98430,Pierce County,253,47.12,-122.57,0
98431,Pierce County,253,47.05,-122.55,151
98433,Pierce County,"253, 360, 564",47.11,-122.59,13900
98438,Pierce County,253,47.14,-122.49,480
98439,Pierce County,253,47.12,-122.5,4240
98442,Pierce County,253,47.14,-122.43,0
98443,Pierce County,253,47.2,-122.37,5030
98444,Pierce County,253,47.15,-122.44,29000
98445,Pierce County,253,47.13,-122.4,29240
98446,Pierce County,253,47.13,-122.37,11330
98447,Pierce County,253,47.15,-122.44,67
98448,Pierce County,253,47.25,-122.44,16
98450,Pierce County,253,47.25,-122.44,0
98455,Pierce County,253,47.25,-122.44,32
98460,Pierce County,253,47.25,-122.44,0
98464,Pierce County,253,47.22,-122.53,918
98465,Pierce County,253,47.25,-122.54,6030
98466,Pierce County,253,47.22,-122.54,25570
98467,Pierce County,253,47.2,-122.54,14330
98471,Pierce County,253,47.25,-122.47,0
98477,Pierce County,253,47.25,-122.44,0
98481,Pierce County,253,47.22,-122.47,0
98490,Pierce County,253,47.2,-122.48,90
98492,Pierce County,253,47.12,-122.55,0
98493,Pierce County,253,47.05,-122.55,0
98496,Pierce County,253,47.17,-122.51,66
98497,Pierce County,253,47.18,-122.54,159
98498,Pierce County,253,47.15,-122.56,24870
98499,Pierce County,253,47.16,-122.5,25220
98501,Thurston County,"360, 564",46.97,-122.87,41020
98502,Thurston County,"360, 564",47.1,-123.06,29050
98503,Thurston County,"360, 564",47.02,-122.79,34750
98504,Thurston County,360,47.02,-122.87,75
98505,Thurston County,"360, 564",47.07,-122.97,96
98506,Thurston County,"360, 564",47.1,-122.86,16410
98507,Thurston County,360,47.03,-122.87,2975
98508,Thurston County,360,47.03,-122.94,1495
98509,Thurston County,360,47.03,-122.8,1899
98511,Thurston County,360,46.95,-123.03,892
98512,Thurston County,"360, 564",46.94,-123.04,26770
98513,Thurston County,"253, 360, 564",46.98,-122.74,32420
98516,Thurston County,"253, 360, 564",47.11,-122.76,28460
98520,Grays Harbor County,"360, 564",46.88,-123.99,17150
98522,Lewis County,360,46.57,-123.29,312
98524,Mason County,"253, 360, 564",47.37,-122.84,3690
98526,Grays Harbor County,"360, 564",47.47,-123.92,270
98527,Pacific County,"360, 564",46.59,-123.92,217
98528,Mason County,"253, 360, 564",47.43,-122.92,10240
98530,Thurston County,"360, 564",46.81,-122.88,453
98531,Lewis County,"360, 564",46.74,-122.95,22430
98532,Lewis County,"360, 564",46.62,-123,22800
98533,Lewis County,"360, 564",46.59,-122.51,580
98535,Grays Harbor County,"360, 564",47.09,-124.13,390
98536,Grays Harbor County,"360, 564",47.16,-124.12,141
98537,Grays Harbor County,"360, 564",46.85,-123.62,2120
98538,Lewis County,"360, 564",46.47,-123.08,400
98539,Lewis County,"360, 564",46.64,-123.27,221
98540,Thurston County,360,46.96,-122.82,691
98541,Grays Harbor County,"360, 564",47.1,-123.39,8860
98542,Lewis County,"360, 564",46.53,-122.79,530
98544,Lewis County,"360, 564",46.74,-123.03,260
98546,Mason County,"253, 360, 564",47.32,-122.94,2600
98547,Grays Harbor County,"360, 564",46.79,-124.08,940
98548,Mason County,"360, 564",47.42,-123.18,1900
98550,Grays Harbor County,"360, 564",47.11,-123.96,8830
98552,Grays Harbor County,"360, 564",47.32,-123.91,260
98554,Pacific County,360,46.55,-123.54,155
98555,Mason County,"360, 564",47.52,-123.06,530
98556,Thurston County,"360, 564",46.89,-123.14,496
98557,Grays Harbor County,"360, 564",47.03,-123.27,3360
98558,Pierce County,"253, 360, 564",46.94,-122.56,1627
